Sector System Information:
Running since:               Tue Aug 17 16:58:08 2010
Available Disk Size:         243,351,136 MB
Total File Size:             1,647,949 MB
Total Number of Files:       2210
Total Number of Slave Nodes: 80
------------------------------------------------------------
MASTER_ID IP              PORT
3835      172.31.0.5      6000
------------------------------------------------------------
Total number of clusters:    3
Cluster_ID  Total_Nodes AvailDisk(MB)  FileSize(MB)   NetIn(MB)      NetOut(MB)     
1           24          68,487,536     271,777        353765         342235         
2           27          80,707,584     304,170        378874         356616         
3           29          94,156,008     333,710        380556         396974         
------------------------------------------------------------
SLAVE_ID  Cluster_ID        Status       Address          AvailDisk(MB)  TotalFile(MB)  Mem(MB)     CPU(us)     NetIn(MB)      NetOut(MB)     TS(us)              
3836      1                 normal       172.31.0.15:59287       2,905,322      11,044         0           1167010000  21973          21654          1282133589379690    
3837      1                 normal       172.31.0.14:58198       2,839,964      11,789         0           1146470000  21188          19775          1282133589379690    
3838      1                 normal       172.31.0.24:55772       2,853,873      11,789         0           1141380000  21216          20615          1282133589369841    
3839      1                 normal       172.31.0.10:38601       2,814,452      11,044         0           1105550000  21182          19511          1282133589345359    
3840      1                 warning      172.31.0.31:46649       2,822,526      11,789         0           1136420000  21203          20072          1282133589375547    
3841      1                 normal       172.31.0.6:34567        3,063,252      10,299         0           1109630000  20919          18720          1282133589345123    
3842      1                 normal       172.31.0.8:48048        2,016,141      11,044         0           1161710000  21990          21390          1282133589439610    
3843      1                 warning      172.31.0.72:34013       2,965,971      11,044         0           1120830000  20920          20302          1282133589395328    
3844      1                 normal       172.31.0.33:43322       2,888,215      11,045         0           1165230000  21729          21390          1282133589451698    
3845      1                 warning      172.31.0.7:51965        2,933,285      11,789         0           1156420000  21181          20055          1282133589592554    
3846      1                 normal       172.31.0.27:50887       2,847,426      11,789         0           1176140000  21763          21439          1282133589444471    
3847      1                 normal       172.31.0.12:54876       2,780,352      11,045         0           1104130000  20921          18720          1282133589433716    
3848      1                 normal       172.31.0.28:51441       2,882,671      11,789         0           1146550000  21251          20648          1282133589444855    
3849      1                 normal       172.31.0.32:46816       3,024,115      11,044         0           1150630000  21975          21126          1282133589454567    
3850      1                 normal       172.31.0.26:60696       2,870,867      11,044         0           1162310000  21729          20846          1282133589485804    
3851      1                 normal       172.31.0.87:51026       2,968,075      11,045         0           1118330000  20937          19544          1282133589368360    
3852      1                 normal       172.31.0.9:60362        2,810,978      11,044         0           1119160000  21186          19000          1282133589487112    
3853      1                 normal       172.31.0.75:48558       2,937,733      11,789         0           1116340000  20938          19528          1282133589463086    
3854      1                 normal       172.31.0.79:37648       2,941,393      11,044         0           1122840000  20939          18753          1282133589356307    
3855      1                 normal       172.31.0.30:48991       2,855,596      11,789         0           1174270000  21746          21406          1282133589390448    
3856      1                 normal       172.31.0.16:37503       2,816,349      11,789         0           1165000000  21713          21373          1282133589357053    
3857      1                 normal       172.31.0.35:59594       2,875,894      11,789         0           1153080000  21218          20879          1282133589344713    
3858      1                 normal       172.31.0.29:46018       2,906,886      11,789         0           1121610000  20937          19808          1282133589366060    
3859      1                 normal       172.31.0.86:56819       2,952,991      11,044         0           1116450000  20920          19248          1282133589613862    
3860      2                 normal       172.31.0.69:42740       3,004,309      11,044         0           1218820000  21712          21390          1282133589394491    
3861      2                 normal       172.31.0.83:49519       2,969,315      13,280         0           1188860000  21450          21110          1282133589368070    
3862      2                 normal       172.31.0.85:48897       2,983,030      11,044         0           1117550000  20938          19791          1282133589470832    
